osm_id,osm_url,name,lat,lon,tourism,amenity,building,route_distance_m,note:osm_route_relation,relation_status,proposal_note
node/10223713119,https://www.openstreetmap.org/node/10223713119,Origo Lelighetshotell,59.7437932,10.2017561,apartment,,,117.5,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/10223713119.
node/9883921494,https://www.openstreetmap.org/node/9883921494,,59.6893793,10.2209692,,shelter,,119.9,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/9883921494.
way/1252151368,https://www.openstreetmap.org/way/1252151368,,59.8697025,10.4822342,,shelter,yes,121.2,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/1252151368.
way/1535657350,https://www.openstreetmap.org/way/1535657350,,59.7403323,10.2043820,,shelter,roof,123.9,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/1535657350.
way/1535657349,https://www.openstreetmap.org/way/1535657349,,59.7404749,10.2045123,,shelter,roof,127.3,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/1535657349.
node/2147053504,https://www.openstreetmap.org/node/2147053504,Tønsberg Vandrehjem,59.2730117,10.4053511,hostel,,,131.5,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/2147053504.
node/2306035888,https://www.openstreetmap.org/node/2306035888,,59.9310866,10.5584482,,shelter,,137.5,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/2306035888.
way/199884069,https://www.openstreetmap.org/way/199884069,Thon Hotel Tønsberg Brygge,59.2674140,10.4042898,hotel,,hotel,140.5,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/199884069.
way/491749404,https://www.openstreetmap.org/way/491749404,,59.7406166,10.2048820,,shelter,,144.1,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/491749404.
way/1033730293,https://www.openstreetmap.org/way/1033730293,,59.9012142,10.5276036,,shelter,transportation,168.9,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/1033730293.
way/1016182497,https://www.openstreetmap.org/way/1016182497,,59.2694710,10.4091724,,shelter,yes,170.8,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/1016182497.
way/491749406,https://www.openstreetmap.org/way/491749406,,59.7403280,10.2057356,,shelter,,197.8,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/491749406.
way/991466386,https://www.openstreetmap.org/way/991466386,,59.7388159,10.1950287,,shelter,service,212.3,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/991466386.
node/5923816744,https://www.openstreetmap.org/node/5923816744,Solberghytten,59.5239174,10.2510612,alpine_hut,,,218.3,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/5923816744.
way/1033730704,https://www.openstreetmap.org/way/1033730704,,59.8997353,10.5266776,,shelter,boathouse,223.9,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/1033730704.
way/1421720826,https://www.openstreetmap.org/way/1421720826,,59.5884727,10.2120758,,shelter,yes,240.4,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/1421720826.
way/1421720825,https://www.openstreetmap.org/way/1421720825,,59.5883929,10.2123597,,shelter,yes,256.2,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/1421720825.
way/980248930,https://www.openstreetmap.org/way/980248930,Quality Hotel River Station,59.7390493,10.2067865,hotel,,hotel,282.0,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/980248930.
node/2328360827,https://www.openstreetmap.org/node/2328360827,,59.7877432,10.3780918,,shelter,,310.1,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/2328360827.
node/10249076054,https://www.openstreetmap.org/node/10249076054,,59.8329420,10.4349112,,shelter,,314.3,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/10249076054.
way/815927851,https://www.openstreetmap.org/way/815927851,,59.7620938,10.2181780,,shelter,yes,346.2,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/815927851.
node/2813795515,https://www.openstreetmap.org/node/2813795515,Gjestehus,59.9072419,10.5400769,hotel,,,350.2,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/2813795515.
way/826001012,https://www.openstreetmap.org/way/826001012,,59.7431314,10.2167073,,shelter,civic,367.6,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: way/826001012.
node/5967645458,https://www.openstreetmap.org/node/5967645458,,59.8151990,10.3831660,picnic_site,,,394.3,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/5967645458.
node/5744987323,https://www.openstreetmap.org/node/5744987323,,59.8151121,10.3831742,,shelter,,395.4,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/5744987323.
node/8423159659,https://www.openstreetmap.org/node/8423159659,,59.7456164,10.1974977,picnic_site,,,408.1,5661086,missing,Proposed: add as member of relation 5661086 (Tunsbergleden / Vestfoldveien). Do not modify existing members of relation 5661086 (Tunsbergleden / Vestfoldveien). Research aid only. Existing OSM object: node/8423159659.
