trail,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,proposal_note
Gudbrandsdalsleden,Lerfald gård,Pilegrimsherberge,63.3451867,10.2539145,gap,,,,,Proposed addition
Gudbrandsdalsleden,Lygnasæter,Rom og hytter,60.4550924,10.6444572,gap,,,,,Proposed addition
Gudbrandsdalsleden,Majer Gård,Pilegrimsherberge | Rom og hytter,60.6609649,10.8388936,gap,,,,,Proposed addition
Gudbrandsdalsleden,Majors-Alm Gård,Pilegrimsherberge | Teltplass,60.3875078,10.5189660,gap,,,,,Proposed addition
Gudbrandsdalsleden,Meslo Herberge,Pilegrimsherberge,62.8476947,9.8826163,gap,,,,,Proposed addition
Gudbrandsdalsleden,Mjuklia - overnatting på Berkåk,Vandrerhjem,62.8342780,10.0009920,gap,,,,,Proposed addition
Gudbrandsdalsleden,Mjøsli - glamping eller hytter,Rom og hytter,60.4977427,11.2544911,gap,,,,,Proposed addition
Gudbrandsdalsleden,Myhrer gård,Campingplass | Teltplass,60.0089063,11.1136062,gap,,,,,Proposed addition
Gudbrandsdalsleden,Nordre Helgaker Gård,Pilegrimsherberge | Rom og hytter | Teltplass,60.3798709,10.5356257,gap,,,,,Proposed addition
Gudbrandsdalsleden,Nordrum Gård,Pilegrimsherberge,61.4540748,10.2139943,gap,,,,,Proposed addition
Gudbrandsdalsleden,Oppdalsporten,Pilegrimsherberge | Teltplass,62.6570070,9.8811290,gap,,,,,Proposed addition
Gudbrandsdalsleden,Pilegrimsbua ved Granerud,Gapahuk | Pilegrimsbu,60.4832465,11.3158076,gap,,,,,Proposed addition
Gudbrandsdalsleden,Rastebu Falang Bru,Rasteplass,60.3411174,10.4593363,gap,,,,,Proposed addition
Gudbrandsdalsleden,Rastebu Høgkorset,Rasteplass,60.4725788,10.5811386,gap,,,,,Proposed addition
Gudbrandsdalsleden,Rastebu Kjølvegen,Rasteplass,60.4526130,10.5490723,gap,,,,,Proposed addition
Gudbrandsdalsleden,Rastebu Sognstoppen,Rasteplass,60.3067670,10.4197383,gap,,,,,Proposed addition
Gudbrandsdalsleden,Rudsødegården,Pilegrimsherberge | Rom og hytter,60.3289852,10.4560345,gap,,,,,Proposed addition
Gudbrandsdalsleden,Sandbakken Camping - STENGT 2023,Rom og hytter,61.8593370,9.4064000,gap,,,,,Proposed addition
Gudbrandsdalsleden,Segard Hoel,Pilegrimsherberge | Vandrerhjem,62.9913974,9.7654720,gap,,,,,Proposed addition
Gudbrandsdalsleden,Skaun menighetshus,Pilegrimsherberge,63.2505676,10.0524452,gap,,,,,Proposed addition
Gudbrandsdalsleden,Skogheim Pilegrimsherberge,Vandrerhjem,63.0880382,9.6976233,gap,,,,,Proposed addition
Gudbrandsdalsleden,Skomakerstua,Rom og hytter | Teltplass | Rasteplass,60.0883732,10.2026188,gap,,,,,Proposed addition
Gudbrandsdalsleden,Skysstasjonen Høgkorsplassen,Pilegrimsherberge | Rom og hytter | Teltplass,60.4947611,10.5966909,gap,,,,,Proposed addition
Gudbrandsdalsleden,Slettum Gård,Pilegrimsherberge,60.8765748,10.6860048,gap,,,,,Proposed addition
Gudbrandsdalsleden,Solvang overnatting,Pilegrimsherberge | Teltplass,60.3694601,11.2789336,gap,,,,,Proposed addition
Gudbrandsdalsleden,Spitalen gamle skolehus - vertskap Sannfredstun,Teltplass,60.4954632,11.3188569,gap,,,,,Proposed addition
Gudbrandsdalsleden,Stabburet på Skjefstad,Pilegrimsherberge,63.3448022,10.2859765,gap,,,,,Proposed addition
Gudbrandsdalsleden,Stall Lisletta,Rom og hytter | Teltplass,60.1481275,10.2923870,gap,,,,,Proposed addition
Gudbrandsdalsleden,Stensveen,Pilegrimsherberge | Rom og hytter | Teltplass,60.7161903,10.8607610,gap,,,,,Proposed addition
Gudbrandsdalsleden,Stokke Nedre,Rom og hytter,60.8862349,10.6767511,gap,,,,,Proposed addition
Gudbrandsdalsleden,"Stugguhaugen, Fagerhaug",Pilegrimsherberge | Rom og hytter,62.6586943,9.8846054,gap,,,,,Proposed addition
Gudbrandsdalsleden,Sveastranda Camping,Campingplass | Rom og hytter | Teltplass,60.8889320,10.6756640,gap,,,,,Proposed addition
Gudbrandsdalsleden,Sveinhaug gård,Pilegrimsherberge,60.9018402,10.7357290,gap,,,,,Proposed addition
Gudbrandsdalsleden,Svorkmo skytterhus,Pilegrimsherberge | Vandrerhjem | Rasteplass,63.1817883,9.7981125,gap,,,,,Proposed addition
Gudbrandsdalsleden,Sygard Grytting - middelalderloft,Pilegrimsherberge,61.5759382,9.8924360,gap,,,,,Proposed addition
Gudbrandsdalsleden,Sætrangsgata 37,Pilegrimsherberge,60.1602497,10.2993469,gap,,,,,Proposed addition
Gudbrandsdalsleden,Teltplass,Teltplass,60.4622570,10.5738482,gap,,,,,Proposed addition
Gudbrandsdalsleden,Vekve hyttetun,Rom og hytter,62.5965253,9.6900994,gap,,,,,Proposed addition
Gudbrandsdalsleden,Østre Aker pilegrimsherberge,Pilegrimsherberge,59.9221295,10.8198166,gap,,,,,Proposed addition
Gudbrandsdalsleden,ØYGARDEN PILEGRIMSHERBERGE,Pilegrimsherberge,61.8393520,9.4086146,gap,,,,,Proposed addition
