trail,country,poi_name,category,lat,lon,match_status,matched_osm_id,matched_osm_url,distance_m,tag_diff,source,path_types,naturkartan_id,proposal_note
St. Olavsleden,Sweden,"Boende på gård, Kluk",Boende,63.3963407,13.8130618,gap,,,,,stolavsleden.com,all,121602,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Boende på gård, Kvällsjön, Matfors",Boende,62.3532515,16.9760046,gap,,,,,stolavsleden.com,all,136167,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Borgsjö Hembygdsgård Vandrarhem,Boende,62.5413000,15.9069000,gap,,,,,stolavsleden.com,all,21483,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Dass och rastplats Glösa,Vindskydd,63.3815741,14.0280713,gap,,,,,stolavsleden.com,all,25902,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Dass och rastplats vid Revsundssjön,Vindskydd,62.8579021,15.2806441,gap,,,,,stolavsleden.com,all,26771,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Duvhökens Bed & Breakfast, Alsen",Boende,63.3862892,13.9629063,gap,,,,,stolavsleden.com,all,70657,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Enkelt boende på Bondgård, Svedje",Boende,62.9856775,15.0007587,gap,,,,,stolavsleden.com,all,134294,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Fin Attefallstuga med underbar utsikt i Vik, Åre",Boende,63.3885609,13.1298894,gap,,,,,stolavsleden.com,all,105690,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Flottarstugan Nederede,Boende,62.4206800,16.4887900,gap,,,,,stolavsleden.com,all,21519,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Folkan Matfors,Boende,62.3473452,17.0208885,gap,,,,,stolavsleden.com,all,73307,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Friggebod i Lunne,Teltplass,63.0794365,14.8766120,gap,,,,,stolavsleden.com,all,55878,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Frösövallens Vandrarhem,Boende,63.1729680,14.5285220,gap,,,,,stolavsleden.com,all,21400,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Furulund, Stavre",Boende,62.8309657,15.3109654,gap,,,,,stolavsleden.com,all,131609,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Glösa,Boende,63.3837530,13.9962600,gap,,,,,stolavsleden.com,all,21415,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Grimnäsvägen 101, Grimnäs",Boende,62.8746880,15.2730620,gap,,,,,stolavsleden.com,all,21530,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Gällö, Långnäsudden",Boende,62.8967950,15.2567570,gap,,,,,stolavsleden.com,all,21409,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Gäststudio, Vattjom",Boende,62.3655008,17.0672347,gap,,,,,stolavsleden.com,all,138009,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Gålvikens pilgrimsboende, Stöde",Boende,62.3891100,16.6658000,gap,,,,,stolavsleden.com,all,21458,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Gården Bräcke,Boende,63.3840475,13.9998617,gap,,,,,stolavsleden.com,all,70284,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Gården Eriksberg, Mordviken",Boende,62.7947980,15.3684620,gap,,,,,stolavsleden.com,all,21388,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Hedmans fjällby, Undersåker",Boende,63.3124100,13.3198000,gap,,,,,stolavsleden.com,all,21434,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Helleberg, Stuga",Boende,63.4079850,13.8497070,gap,,,,,stolavsleden.com,all,21417,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Hovs Uppgård, Alsen",Boende,63.3901573,13.9235300,gap,,,,,stolavsleden.com,all,101400,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Hällsluten 167,Boende,62.7057504,15.5975706,gap,,,,,stolavsleden.com,all,127259,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Härbre, Bodsjöbränna",Boende,63.4638376,12.6261451,gap,,,,,stolavsleden.com,all,22159,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Hållsta 325,Boende,62.9885569,14.9735302,gap,,,,,stolavsleden.com,all,149063,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Kapellet i Byn, Fränsta",Boende,62.4961650,16.1178300,gap,,,,,stolavsleden.com,all,21477,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Knut & Ruts, Undersåker kyrka",Boende,63.3270878,13.3846204,gap,,,,,stolavsleden.com,all,48295,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Liljedalen, Stöde",Boende,62.3722332,16.8508607,gap,,,,,stolavsleden.com,all,73517,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Lilla Bogården, Kälsta",Boende,62.4172475,16.5567530,gap,,,,,stolavsleden.com,all,68123,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,"Lindberga gård, Stöde",Boende,62.4259220,16.4610940,gap,,,,,stolavsleden.com,all,21272,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
St. Olavsleden,Sweden,Lindqvist Tjänst & Gästgiveri i Fränsta,Boende,62.4980911,16.1757935,gap,,,,,stolavsleden.com,all,103054,Proposed: create OSM object and add as member of relation 10524322 (St. Olavsleden). Do not modify existing members of relation 10524322 (St. Olavsleden). Research aid only.
