trail,poi_name,category,lat,lon,url
Gudbrandsdalsleden,Jonsgård Seng & Frokost,Pilegrimsherberge,61.5309200,10.1388410,https://www.pilegrimsleden.no/interessepunkter/jonsgard-seng-frokost
Gudbrandsdalsleden,Jørundgard Viking- og Middelaldersenter,Rom og hytter,61.8454800,9.4346100,https://www.pilegrimsleden.no/interessepunkter/jorundgard-middelaldersenter
Gudbrandsdalsleden,Kaldor Gård - overnatting og utsikt i Hafjell,Pilegrimsherberge,61.2344600,10.4614600,https://www.pilegrimsleden.no/interessepunkter/kaldor-gard-overnatting-og-utsikt-i-hafjell
Gudbrandsdalsleden,Killi Pensjonat tilbyr overnatting i Otta sentrum,Pilegrimsherberge,61.7719774,9.5249291,https://www.pilegrimsleden.no/interessepunkter/killi-pensjonat-tilbyr-overnatting-i-otta-sentrum
Gudbrandsdalsleden,Kirketeigen Rom og Camping,Pilegrimsherberge | Campingplass,61.6665700,9.6938040,https://www.pilegrimsleden.no/interessepunkter/kirketeigen-rom-og-camping
Gudbrandsdalsleden,Kleivstua hotell,Vandrerhjem | Rom og hytter,60.0468680,10.3221490,https://www.pilegrimsleden.no/interessepunkter/kleivstua-hotell
Gudbrandsdalsleden,Klokkargården Halstad,Pilegrimsherberge,61.5058856,10.1774168,https://www.pilegrimsleden.no/interessepunkter/klokkargarden-halstad
Gudbrandsdalsleden,Kongsvold Fjeldstue,Pilegrimsherberge,62.3034011,9.6057522,https://www.pilegrimsleden.no/interessepunkter/kongsvold-fjeldstue
Gudbrandsdalsleden,Konstadtunet,Pilegrimsherberge,63.2298010,10.1265059,https://www.pilegrimsleden.no/interessepunkter/konstadtunet
Gudbrandsdalsleden,Kronprinsens utsikt,Gapahuk | Rasteplass,60.0532534,10.3231487,https://www.pilegrimsleden.no/interessepunkter/kronprinsens-utsikt
Gudbrandsdalsleden,Kveldsro ved Fløyta,Pilegrimsherberge | Rom og hytter,60.4214572,11.2844075,https://www.pilegrimsleden.no/interessepunkter/kveldsro-ved-floyta
Gudbrandsdalsleden,Langklopp Fjellgård,Vandrerhjem,62.7268177,9.9358174,https://www.pilegrimsleden.no/interessepunkter/langklopp-fjellgard
