trail,poi_name,category,lat,lon,address,match_status,matched_osm_id,matched_osm_url,matched_osm_name,distance_m,tag_diff
Gudbrandsdalsleden,Aaraas Pilegrimsherberge,Overnatting | Pilegrimsherberge | Teltplass,59.9893932,10.9769382,"Årosvegen 307, 1480 Slattum (ved Hellerudsletta/Årosbrua)",matched,node/6812447357,https://www.openstreetmap.org/node/6812447357,Aaraastunet,11.1,+hostel:type=pilgrim; name:Aaraas Pilegrimsherberge->Aaraastunet; tourism:hostel->guest_house
Gudbrandsdalsleden,Bergmannshuset,Overnatting | Hotell | Vandrerhjem,63.1242870,9.7045620,"Torfinn Bjønaas plass 1, 7332 Løkken Verk",matched,node/6817588285,https://www.openstreetmap.org/node/6817588285,Bergmannskroa,6.8,name:Bergmannshuset->Bergmannskroa; tourism:hostel->guest_house
Gudbrandsdalsleden,Brøttum Camping,Overnatting | Campingplass | Rom og hytter | Teltplass,61.0245197,10.5536841,"Turistvegen 1270, 2372 Brøttum",matched,way/751244262,https://www.openstreetmap.org/way/751244262,Brøttum Camping,10.2,tourism:chalet->camp_site
Gudbrandsdalsleden,Budsjord historisk gard,Overnatting | Hotell | Vandrerhjem,62.0158705,9.2236515,"Øverbygdsvegen 145, 2662 Dovre",matched,node/6808271323,https://www.openstreetmap.org/node/6808271323,Pilgrimsgården Busjord,8.9,name:Budsjord historisk gard->Pilgrimsgården Busjord; tourism:hostel->guest_house
Gudbrandsdalsleden,Bunks at Rode,Overnatting | Pilegrimsherberge | Vandrerhjem,59.9273939,10.7668296,"Københavngata 10, 0566 Oslo",matched,node/2790244101,https://www.openstreetmap.org/node/2790244101,Bunks at Rode,8.7,+hostel:type=pilgrim
Gudbrandsdalsleden,Bærum gapahuk,Gapahuk,59.9429920,10.5565670,"Gardlaushøgda, 1305 Haslum",matched,node/563386752,https://www.openstreetmap.org/node/563386752,Løvehulen,4.1,name:Bærum gapahuk->Løvehulen; +shelter_type=lean_to
Gudbrandsdalsleden,Dovrefjell Lodge (Furuhaugli),Overnatting | Hotell | Vandrerhjem | Rom og hytter | Teltplass,62.1535067,9.3706512,"Furuhauglie 80, Dovrefjell, 2660 Dombås",matched,node/3663314978,https://www.openstreetmap.org/node/3663314978,Furuhaugli Turisthytter,19.1,name:Dovrefjell Lodge (Furuhaugli)->Furuhaugli Turisthytter; tourism:hostel->camp_site
Gudbrandsdalsleden,Dovregubbens Hall,Overnatting | Hotell | Vandrerhjem,62.1746080,9.4288660,"Trondheimsvegen 2100, 2660 Dombås",matched,node/6542721068,https://www.openstreetmap.org/node/6542721068,Dovregubbens Hall,27.8,tourism:hostel->hotel
Gudbrandsdalsleden,Dovreskogen camping,Overnatting | Rom og hytter | Teltplass,61.9286771,9.3168783,"Skogamoveien 19, 2663 Dovreskogen",matched,way/299738523,https://www.openstreetmap.org/way/299738523,Dovreskogen Camping,49.7,name:Dovreskogen camping->Dovreskogen Camping; tourism:chalet->camp_site
Gudbrandsdalsleden,Dovreskogen Gjestegård,Overnatting | Vandrerhjem | Teltplass,61.9118008,9.3607324,"Gudbrandsdalsvegen 225, 2663 Dovreskogen",matched,node/203142757,https://www.openstreetmap.org/node/203142757,Dovreskogen gjestegård,53.7,name:Dovreskogen Gjestegård->Dovreskogen gjestegård; tourism:hostel->guest_house
